년월,고속철도 여객수 계
2004년 04월,"2,127"
2004년 05월,"2,314"
2004년 06월,"1,968"
2004년 07월,"2,152"
2004년 08월,"2,247"
2004년 09월,"2,255"
2004년 10월,"2,278"
2004년 11월,"2,200"
2004년 12월,"2,340"
2005년 1월,"2,456"
2005년 2월,"2,431"
2005년 3월,"2,347"
2005년 4월,"2,534"
2005년 5월,"2,697"
2005년 6월,"2,540"
2005년 7월,"2,657"
2005년 8월,"2,912"
2005년 9월,"2,705"
2005년 10월,"2,965"
2005년 11월,"2,880"
2005년 12월,"3,244"
2006년 1월,"3,207"
2006년 2월,"2,825"
2006년 3월,"2,658"
2006년 4월,"3,005"
2006년 5월,"3,130"
2006년 6월,"2,840"
2006년 7월,"2,969"
2006년 8월,"3,141"
2006년 9월,"2,810"
2006년 10월,"3,403"
2006년 11월,"3,138"
2006년 12월,"3,362"
2007년 1월,"3,215"
2007년 2월,"3,081"
2007년 3월,"2,970"
2007년 4월,"3,009"
2007년 5월,"3,244"
2007년 6월,"2,971"
2007년 7월,"2,965"
2007년 8월,"3,162"
2007년 9월,"3,019"
2007년 10월,"3,179"
2007년 11월,"3,182"
2007년 12월,"3,285"
2008년 1월,"3,136"
2008년 2월,"3,138"
2008년 3월,"2,995"
2008년 4월,"3,065"
2008년 5월,"3,430"
2008년 6월,"3,015"
2008년 7월,"2,024"
2008년 8월,"3,337"
2008년 9월,"3,153"
2008년 10월,"3,299"
2008년 11월,"3,265"
2008년 12월,"3,158"
2009년 1월,"3,272"
2009년 2월,"2,830"
2009년 3월,"2,948"
2009년 4월,"3,066"
2009년 5월,"3,336"
2009년 6월,"2,930"
2009년 7월,"2,991"
2009년 8월,"3,333"
2009년 9월,"2,852"
2009년 10월,"3,489"
2009년 11월,"3,078"
2009년 12월,"3,268"
2010년 1월,"3,310"
2010년 2월,"3,196"
2010년 3월,"3,095"
2010년 4월,"3,163"
2010년 5월,"3,539"
2010년 6월,"3,041"
2010년 7월,"3,280"
2010년 8월,"3,496"
2010년 9월,"3,310"
2010년 10월,"3,670"
2010년 11월,"3,923"
2010년 12월,"4,259"
2011년 1월,"4,113"
2011년 2월,"3,991"
2011년 3월,"3,842"
2011년 4월,"4,176"
2011년 5월,"4,384"
2011년 6월,"4,008"
2011년 7월,"4,110"
2011년 8월,"4,325"
2011년 9월,"4,142"
2011년 10월,"4,520"
2011년 11월,"4,324"
2011년 12월,"4,373"
2012년 1월,"4,309"
2012년 2월,"4,082"
2012년 3월,"4,153"
2012년 4월,"4,251"
2012년 5월,"4,544"
2012년 6월,"4,287"
2012년 7월,"4,336"
2012년 8월,"4,400"
2012년 9월,"4,233"
2012년 10월,"4,697"
2012년 11월,"4,628"
2012년 12월,"4,881"
2013년 1월,"4,406"
2013년 2월,"4,395"
2013년 3월,"4,423"
2013년 4월,"4,442"
2013년 5월,"4,855"
2013년 6월,"4,396"
2013년 7월,"4,367"
2013년 8월,"4,613"
2013년 9월,"4,682"
2013년 10월,"4,792"
2013년 11월,"4,867"
2013년 12월,"4,592"
2014년 1월,"4,465"
2014년 2월,"4,326"
2014년 3월,"4,478"
2014년 4월,"4,589"
2014년 5월,"4,959"
2014년 6월,"4,951"
2014년 7월,"4,568"
2014년 8월,"4,995"
2014년 9월,"4,753"
2014년 10월,"5,119"
2014년 11월,"4,916"
2014년 12월,"5,156"
2015년 1월,"4,804"
2015년 2월,"4,400"
2015년 3월,"4,675"
2015년 4월,"5,117"
2015년 5월,"5,740"
2015년 6월,"3,738"
2015년 7월,"4,806"
2015년 8월,"5,341"
2015년 9월,"5,202"
2015년 10월,"5,633"
2015년 11월,"5,511"
2015년 12월,"5,438"
2016년 1월,"5,216"
2016년 2월,"5,184"
2016년 3월,"5,011"
2016년 4월,"5,357"
2016년 5월,"5,692"
2016년 6월,"5,270"
2016년 7월,"5,417"
2016년 8월,"5,424"
2016년 9월,"5,399"
2016년 10월,"5,911"
2016년 11월,"5,656"
2016년 12월,"6,072"
2017년 1월,"6,453"
2017년 2월,"5,879"
2017년 3월,"6,100"
2017년 4월,"6,543"
2017년 5월,"6,845"
2017년 6월,"6,314"
2017년 7월,"6,439"
2017년 8월,"6,657"
2017년 9월,"6,539"
2017년 10월,"7,155"
2017년 11월,"6,919"
2017년 12월,"7,271"
2018년 1월,"6,657"
2018년 2월,"6,548"
2018년 3월,"6,625"
2018년 4월,"6,900"
2018년 5월,"7,404"
2018년 6월,"6,829"
2018년 7월,"6,822"
2018년 8월,"6,990"
2018년 9월,"7,133"
2018년 10월,"7,442"
2018년 11월,"7,566"
2018년 12월,"7,461"
2019년 1월,"6,929"
2019년 2월,"6,942"
2019년 3월,"7,188"
2019년 4월,"7,247"
2019년 5월,"7,733"
2019년 6월,"7,294"
2019년 7월,"7,290"
2019년 8월,"7,656"
2019년 9월,"7,379"
2019년 10월,"7,819"
2019년 11월,"7,873"
2019년 12월,"8,070"