년월,고속철도 여객수 계,MERS,SRT
2004.4.1,2127,0,0
2004.5.1,2314,0,0
2004.6.1,1968,0,0
2004.7.1,2152,0,0
2004.8.1,2247,0,0
2004.9.1,2255,0,0
2004.10.1,2278,0,0
2004.11.1,2200,0,0
2004.12.1,2340,0,0
2005.1.1,2456,0,0
2005.2.1,2431,0,0
2005.3.1,2347,0,0
2005.4.1,2534,0,0
2005.5.1,2697,0,0
2005.6.1,2540,0,0
2005.7.1,2657,0,0
2005.8.1,2912,0,0
2005.9.1,2705,0,0
2005.10.1,2965,0,0
2005.11.1,2880,0,0
2005.12.1,3244,0,0
2006.1.1,3207,0,0
2006.2.1,2825,0,0
2006.3.1,2658,0,0
2006.4.1,3005,0,0
2006.5.1,3130,0,0
2006.6.1,2840,0,0
2006.7.1,2969,0,0
2006.8.1,3141,0,0
2006.9.1,2810,0,0
2006.10.1,3403,0,0
2006.11.1,3138,0,0
2006.12.1,3362,0,0
2007.1.1,3215,0,0
2007.2.1,3081,0,0
2007.3.1,2970,0,0
2007.4.1,3009,0,0
2007.5.1,3244,0,0
2007.6.1,2971,0,0
2007.7.1,2965,0,0
2007.8.1,3162,0,0
2007.9.1,3019,0,0
2007.10.1,3179,0,0
2007.11.1,3182,0,0
2007.12.1,3285,0,0
2008.1.1,3136,0,0
2008.2.1,3138,0,0
2008.3.1,2995,0,0
2008.4.1,3065,0,0
2008.5.1,3430,0,0
2008.6.1,3015,0,0
2008.7.1,2024,0,0
2008.8.1,3337,0,0
2008.9.1,3153,0,0
2008.10.1,3299,0,0
2008.11.1,3265,0,0
2008.12.1,3158,0,0
2009.1.1,3272,0,0
2009.2.1,2830,0,0
2009.3.1,2948,0,0
2009.4.1,3066,0,0
2009.5.1,3336,0,0
2009.6.1,2930,0,0
2009.7.1,2991,0,0
2009.8.1,3333,0,0
2009.9.1,2852,0,0
2009.10.1,3489,0,0
2009.11.1,3078,0,0
2009.12.1,3268,0,0
2010.1.1,3310,0,0
2010.2.1,3196,0,0
2010.3.1,3095,0,0
2010.4.1,3163,0,0
2010.5.1,3539,0,0
2010.6.1,3041,0,0
2010.7.1,3280,0,0
2010.8.1,3496,0,0
2010.9.1,3310,0,0
2010.10.1,3670,0,0
2010.11.1,3923,0,0
2010.12.1,4259,0,0
2011.1.1,4113,0,0
2011.2.1,3991,0,0
2011.3.1,3842,0,0
2011.4.1,4176,0,0
2011.5.1,4384,0,0
2011.6.1,4008,0,0
2011.7.1,4110,0,0
2011.8.1,4325,0,0
2011.9.1,4142,0,0
2011.10.1,4520,0,0
2011.11.1,4324,0,0
2011.12.1,4373,0,0
2012.1.1,4309,0,0
2012.2.1,4082,0,0
2012.3.1,4153,0,0
2012.4.1,4251,0,0
2012.5.1,4544,0,0
2012.6.1,4287,0,0
2012.7.1,4336,0,0
2012.8.1,4400,0,0
2012.9.1,4233,0,0
2012.10.1,4697,0,0
2012.11.1,4628,0,0
2012.12.1,4881,0,0
2013.1.1,4406,0,0
2013.2.1,4395,0,0
2013.3.1,4423,0,0
2013.4.1,4442,0,0
2013.5.1,4855,0,0
2013.6.1,4396,0,0
2013.7.1,4367,0,0
2013.8.1,4613,0,0
2013.9.1,4682,0,0
2013.10.1,4792,0,0
2013.11.1,4867,0,0
2013.12.1,4592,0,0
2014.1.1,4465,0,0
2014.2.1,4326,0,0
2014.3.1,4478,0,0
2014.4.1,4589,0,0
2014.5.1,4959,0,0
2014.6.1,4951,0,0
2014.7.1,4568,0,0
2014.8.1,4995,0,0
2014.9.1,4753,0,0
2014.10.1,5119,0,0
2014.11.1,4916,0,0
2014.12.1,5156,0,0
2015.1.1,4804,0,0
2015.2.1,4400,0,0
2015.3.1,4675,0,0
2015.4.1,5117,0,0
2015.5.1,5740,0,0
2015.6.1,3738,1,0
2015.7.1,4806,0,0
2015.8.1,5341,0,0
2015.9.1,5202,0,0
2015.10.1,5633,0,0
2015.11.1,5511,0,0
2015.12.1,5438,0,0
2016.1.1,5216,0,0
2016.2.1,5184,0,0
2016.3.1,5011,0,0
2016.4.1,5357,0,0
2016.5.1,5692,0,0
2016.6.1,5270,0,0
2016.7.1,5417,0,0
2016.8.1,5424,0,0
2016.9.1,5399,0,0
2016.10.1,5911,0,0
2016.11.1,5656,0,0
2016.12.1,6072,0,1
2017.1.1,6453,0,1
2017.2.1,5879,0,1
2017.3.1,6100,0,1
2017.4.1,6543,0,1
2017.5.1,6845,0,1
2017.6.1,6314,0,1
2017.7.1,6439,0,1
2017.8.1,6657,0,1
2017.9.1,6539,0,1
2017.10.1,7155,0,1
2017.11.1,6919,0,1
2017.12.1,7271,0,1
2018.1.1,6657,0,1
2018.2.1,6548,0,1
2018.3.1,6625,0,1
2018.4.1,6900,0,1
2018.5.1,7404,0,1
2018.6.1,6829,0,1
2018.7.1,6822,0,1
2018.8.1,6990,0,1
2018.9.1,7133,0,1
2018.10.1,7442,0,1
2018.11.1,7566,0,1
2018.12.1,7461,0,1
2019.1.1,6929,0,1
2019.2.1,6942,0,1
2019.3.1,7188,0,1
2019.4.1,7247,0,1
2019.5.1,7733,0,1
2019.6.1,7294,0,1
2019.7.1,7290,0,1
2019.8.1,7656,0,1
2019.9.1,7379,0,1
2019.10.1,7819,0,1
2019.11.1,7873,0,1
2019.12.1,8070,0,1